Algorithm,Mode,Threads,Size,Sample,TimeMs
MergeSort,Serial,1,1000,1,1
MergeSort,Serial,1,1000,2,0
MergeSort,Serial,1,1000,3,0
MergeSort,Serial,1,1000,4,0
MergeSort,Serial,1,1000,5,1
MergeSort,Parallel,2,1000,1,3
MergeSort,Parallel,2,1000,2,1
MergeSort,Parallel,2,1000,3,1
MergeSort,Parallel,2,1000,4,1
MergeSort,Parallel,2,1000,5,0
MergeSort,Parallel,4,1000,1,0
MergeSort,Parallel,4,1000,2,0
MergeSort,Parallel,4,1000,3,0
MergeSort,Parallel,4,1000,4,0
MergeSort,Parallel,4,1000,5,0
MergeSort,Parallel,8,1000,1,0
MergeSort,Parallel,8,1000,2,1
MergeSort,Parallel,8,1000,3,1
MergeSort,Parallel,8,1000,4,1
MergeSort,Parallel,8,1000,5,1
QuickSort,Serial,1,1000,1,1
QuickSort,Serial,1,1000,2,0
QuickSort,Serial,1,1000,3,0
QuickSort,Serial,1,1000,4,0
QuickSort,Serial,1,1000,5,0
QuickSort,Parallel,2,1000,1,0
QuickSort,Parallel,2,1000,2,0
QuickSort,Parallel,2,1000,3,0
QuickSort,Parallel,2,1000,4,1
QuickSort,Parallel,2,1000,5,0
QuickSort,Parallel,4,1000,1,1
QuickSort,Parallel,4,1000,2,1
QuickSort,Parallel,4,1000,3,1
QuickSort,Parallel,4,1000,4,1
QuickSort,Parallel,4,1000,5,0
QuickSort,Parallel,8,1000,1,0
QuickSort,Parallel,8,1000,2,0
QuickSort,Parallel,8,1000,3,0
QuickSort,Parallel,8,1000,4,0
QuickSort,Parallel,8,1000,5,0
BubbleSort,Serial,1,1000,1,3
BubbleSort,Serial,1,1000,2,1
BubbleSort,Serial,1,1000,3,1
BubbleSort,Serial,1,1000,4,1
BubbleSort,Serial,1,1000,5,0
BubbleSort,Parallel,2,1000,1,27
BubbleSort,Parallel,2,1000,2,15
BubbleSort,Parallel,2,1000,3,16
BubbleSort,Parallel,2,1000,4,16
BubbleSort,Parallel,2,1000,5,20
BubbleSort,Parallel,4,1000,1,15
BubbleSort,Parallel,4,1000,2,11
BubbleSort,Parallel,4,1000,3,13
BubbleSort,Parallel,4,1000,4,13
BubbleSort,Parallel,4,1000,5,12
BubbleSort,Parallel,8,1000,1,13
BubbleSort,Parallel,8,1000,2,14
BubbleSort,Parallel,8,1000,3,17
BubbleSort,Parallel,8,1000,4,17
BubbleSort,Parallel,8,1000,5,12
CountingSort,Serial,1,1000,1,8
CountingSort,Serial,1,1000,2,3
CountingSort,Serial,1,1000,3,3
CountingSort,Serial,1,1000,4,2
CountingSort,Serial,1,1000,5,3
